"ID","Title","Description","Acceptance","Test_Method","Tools","Dev_Status","Review1_Status","Regression_Status","Files","Dependencies","Notes"
"SEC-0001","ProxyEndpoint 密码 write-only + 全链路脱敏","将 ProxyEndpoint.password 改为 write-only（只允许更新，不允许读取/回显）；Admin API/自定义页面/日志/审计均不得返回明文 password；避免 probe/test 等动作拼接/返回含密码的 proxyUri","1) Admin API: GET /admin/api/resources/ProxyEndpoint/records/:id/edit 不再包含 record.params.password|2) Admin UI: edit 页不回显密码（仅占位/空值；可提交更新）|3) probe/test 等返回与日志不含 password 明文|4) redaction 测试覆盖并通过","npx vitest run test/admin_audit_redaction.test.ts test/admin_proxy_endpoint_writeonly.test.ts test/admin_proxy_probe_action.test.ts|Chrome MCP 复验：/admin/resources/ProxyEndpoint/records/1/edit 不回显 + 触发 probe 有可解释 notice（不 504）","chrome-devtools","DONE","DONE","TODO","src/admin/adminJs.ts | src/admin/resources/* | src/audit/adminAudit.ts | src/proxy/* | test/admin_proxy_endpoint_writeonly.test.ts","none","severity=High | scope=security,admin | expected=password write-only + never returned | actual=edit input.type=text 且非空；GET /admin/api/resources/ProxyEndpoint/records/1/edit 含 password；POST probe 504 | evidence=screenshots:docs/review/screenshots/2026-02-09_02-00-27/admin-B1-proxyEndpoint-1-edit-password-field-evidence-masked.png; network:docs/review/network/2026-02-09_02-00-27/admin-B1-proxyEndpoint-password-writeonly.summary.txt | fix_plan=剔除 AdminJS record params password + UI 占位 + probe 内部使用但不回传；补测试 | evidence_code=src/admin/resources/proxyEndpoints.ts（edit/list/show/probe/new/delete 响应统一脱敏；password 字段 type=password）| evidence_tests=npx vitest run test/admin_audit_redaction.test.ts test/admin_proxy_endpoint_writeonly.test.ts test/admin_proxy_probe_action.test.ts（pass）| done_at:2026-02-09 | validation_limited:prod_deploy_pending | manual_test:deploy 后用 Chrome MCP 打开 /admin/resources/ProxyEndpoint/records/1/edit 确认 password 不回显且 input.type=password；触发 probe 返回 notice（<10s、非 504）| risk:medium (待部署验证)"
"DEP-0001","暴露 build/version/commit 并修复部署一致性","为 /healthz 或 /version 暴露 version/commit/build_time；Admin Dashboard 显示同信息；CI/发布流程增加一致性校验（防 stale dist/旧构建/多入口不一致）","1) /healthz（或 /version）返回 version/commit/build_time|2) /admin Dashboard 可见同信息|3) 文档补充发布校验步骤|4) 回归通过","npx vitest run test/healthz.test.ts test/smoke.test.ts|curl https://i.mukyu.ru/healthz 验证包含 version/commit（不含敏感信息）","manual","DONE","DONE","TODO","src/routes/healthz.ts | src/routes/version.ts (new) | src/admin/pages/* | docs/deployment/*","none","severity=High | scope=deploy,observability | expected=可追溯线上运行版本 | actual=/healthz 无版本信息，且线上行为与仓库实现存在不一致风险 | evidence=docs/review/network/2026-02-09_02-00-27/api-E5-healthz.summary.txt | fix_plan=新增 version 暴露 + dashboard 展示 + CI 校验 dist/commit | evidence_code=src/utils/buildInfo.ts（版本/commit/build_time 统一来源）+ src/routes/healthz.ts（build 字段）+ src/routes/version.ts（/version）+ src/admin/pages/dashboard.jsx（展示 build）+ package.json(build 写 dist/build-info.json) | evidence_docs=docs/deployment/ubuntu22.md + docs/deployment/security-checklist.md | evidence_tests=npx vitest run test/healthz.test.ts test/smoke.test.ts（pass）| done_at:2026-02-09 | validation_limited:prod_deploy_pending | manual_test:deploy 后 curl https://i.mukyu.ru/healthz 与 /version 确认包含 version/commit/build_time（不含敏感信息）并可与预期 commit 对照 | risk:medium (待部署验证)"
"ADM-0001","修复 AdminJS action deep link not found（hydrateMetadata/testRefresh 等）","确保关键 record actions（Image.hydrateMetadata、PixivToken.testRefresh、HydrationRun.pause/resume/cancel 等）可从 Admin UI 打开深链并可执行；并能从 Admin API 枚举到","1) 深链 /admin/resources/Image/records/:id/hydrateMetadata 不再显示 not found|2) 深链 /admin/resources/PixivToken/records/:id/testRefresh 不再显示 not found|3) UI 点击动作有明确 notice + 状态变化|4) 增加 admin deep-link smoke 测试覆盖","npx vitest run test/admin_action_component_contract.test.ts test/admin_resource_route_compat.test.ts|Chrome MCP 复验（真实站点）：打开深链 + 点击执行","chrome-devtools","DONE","DONE","TODO","src/admin/resources/images.ts | src/admin/resources/pixivTokens.ts | src/admin/adminJs.ts | test/admin_action_component_contract.test.ts","DEP-0001","severity=High | scope=admin | expected=deep link 可用且 actions 可枚举 | actual=深链 not found（Image.hydrateMetadata/PixivToken.testRefresh） | evidence=screenshots:docs/review/screenshots/2026-02-09_02-00-27/admin-A1-image-hydrateMetadata-deeplink-notfound.png; docs/review/screenshots/2026-02-09_02-00-27/admin-A2-pixivToken-testRefresh-deeplink-notfound.png | fix_plan=对齐 AdminJS action 注册/可见性/组件路由；补 smoke | evidence_code=src/admin/components/recordActionRunner.jsx + (Image.hydrateMetadata/PixivToken.testRefresh/HydrationRun.pause|resume|cancel) component=RecordActionRunner | evidence_tests=npx vitest run test/admin_action_component_contract.test.ts test/admin_resource_route_compat.test.ts（pass）| done_at:2026-02-09 | validation_limited:prod_deploy_pending | manual_test:deploy 后用 Chrome MCP 打开深链并确认可执行（弹窗二次确认→notice→redirect 到 show）| risk:medium (待部署验证)"
"ADM-0002","Admin actions 504：长耗时动作异步化 + 可解释 job 反馈","将 testRefresh/hydrateMetadata/probe 等外部依赖动作改为异步 job（立即返回 jobId）；提供 job 状态/取消/重试；失败可解释（timeout/blocked/上游限流等），避免 Cloudflare 504","1) 关键动作 POST 不再 504（响应<10s）|2) 返回 jobId + 可查询状态|3) 失败提示包含可追踪 code/request_id（不泄露敏感）|4) 增加回归测试覆盖超时/失败分支","npx vitest run test/pixivTokenResource.test.ts test/admin_proxy_endpoint_writeonly.test.ts test/admin_action_component_contract.test.ts|npm run lint|Chrome MCP（deploy 后复验）：触发动作得到 jobId 并可在 /admin/pages/adminJobs 查看状态/取消/重试","chrome-devtools","DONE","DONE","TODO","app.ts | src/jobs/adminActions.ts | src/admin/resources/images.ts | src/admin/resources/pixivTokens.ts | src/admin/resources/proxyEndpoints.ts | src/admin/adminJs.ts | src/admin/pages/adminJobs.jsx | src/admin/pages/opsNavigator.jsx | test/pixivTokenResource.test.ts | test/admin_proxy_endpoint_writeonly.test.ts | test/admin_action_component_contract.test.ts","ADM-0001","severity=High | scope=admin,queue,observability | expected=动作立即返回 + 可恢复 | actual=prod: action POST 504（Cloudflare）且无可追踪 job 反馈 | evidence=docs/review/network/2026-02-09_02-00-27/admin-A1-image-hydrateMetadata.summary.txt; docs/review/network/2026-02-09_02-00-27/admin-A2-pixivToken-testRefresh.summary.txt; docs/review/network/2026-02-09_02-00-27/admin-B1-proxyEndpoint-password-writeonly.summary.txt | fix_plan=job 化 + 入队超时 guard（<10s）+ 后台任务页提供状态/取消/重试 | evidence_code=src/jobs/adminActions.ts（admin_pixiv_token_test_refresh/admin_proxy_endpoint_probe worker + enqueue）+ src/admin/pages/adminJobs.jsx（pg-boss job 状态/取消/重试）+ src/admin/resources/{pixivTokens,proxyEndpoints,images}.ts（动作入队 + timeout 5s） | evidence_tests=npx vitest run test/pixivTokenResource.test.ts test/admin_proxy_endpoint_writeonly.test.ts test/admin_action_component_contract.test.ts（pass）+ npm run lint（pass） | done_at:2026-02-09 | validation_limited:prod_deploy_pending | manual_test:deploy 后 Chrome MCP：1) /admin/resources/PixivToken/records/1/testRefresh 点击执行返回 jobId（<10s）；2) /admin/resources/ProxyEndpoint/records/1/probe 点击执行返回 jobId（<10s）；3) /admin/resources/Image/records/1/hydrateMetadata 点击执行返回 jobId（<10s）；4) /admin/pages/adminJobs 能看到对应 job state 与输出/错误，且可 cancel/retry（不泄露敏感） | risk=medium | blocked_if_any=none"
"ADM-0003","修复 TokenProxyBinding 资源 list/show 500 并统一资源页 vs 自定义页","修复 /admin/resources/TokenProxyBinding list API 500（filter/BigInt coercion/空值处理）；使资源 CRUD/list/show 可用，并与 /admin/pages/tokenProxyBindings 统一能力与错误语义","1) GET /admin/api/resources/TokenProxyBinding/actions/list 返回 200|2) 资源 list/show/edit 可用|3) 自定义页与资源页数据一致或明确跳转策略|4) 增加针对性测试覆盖","npx vitest run test/admin_token_proxy_binding_resource.test.ts|npm run lint|Chrome MCP（deploy 后复验）：资源页 list/show 正常（无 500）","chrome-devtools","DONE","DONE","TODO","src/admin/adminJs.ts | src/admin/utils/filterValue.ts | test/admin_token_proxy_binding_resource.test.ts","none","severity=High | scope=admin,data | expected=资源页可管理（避免“页面可用但资源页 500”的假可用） | actual=prod: GET /admin/api/resources/TokenProxyBinding/actions/list 500；但 /admin/api/pages/tokenProxyBindings 200 | evidence=screenshots:docs/review/screenshots/2026-02-09_02-00-27/admin-C1-tokenProxyBinding-resource-list-500.png; network:docs/review/network/2026-02-09_02-00-27/admin-C1-tokenProxyBinding-resource-list-500.summary.txt | root_cause=AdminJS filter payload 在空值/对象包装值（{}/ {value,id,...}）场景下被误判为“有效”，导致 Prisma where 注入非法对象值并触发 500 | fix_plan=hasEffectiveFilterValue 对空对象/空包装值返回 false；convertParam 对 reference 值做 {id,value} 解包后再做 BigInt/String coercion | evidence_code=src/admin/utils/filterValue.ts（递归判空 + 支持 {id,value,from,to}）+ src/admin/adminJs.ts（convertParam 解包） | evidence_tests=npx vitest run test/admin_token_proxy_binding_resource.test.ts（pass）+ npm run lint（pass） | done_at:2026-02-09 | validation_limited:prod_deploy_pending | manual_test:deploy 后 Chrome MCP：打开 /admin/resources/TokenProxyBinding（list + show），确认不再 500；并对照 /admin/pages/tokenProxyBindings 的绑定数据一致（或明确以自定义页为操作入口） | risk=medium | blocked_if_any=none"
"API-0001","min_* 超 int4 上限：入口校验 400 + 查询 bigint cast","在 /random 与 /images 入口对 min_width/min_height/min_pixels 做 int4 上限校验（<=2147483647）；超界返回结构化 400；同时 raw SQL 对 width/height/pixels 使用 bigint cast 防溢出","1) min_* 超界返回 400 BAD_REQUEST（含 code/message/request_id）|2) 正常边界值仍可用|3) 契约测试覆盖（含边界/超界/非法）","npx vitest run test/random_filter_min_width.test.ts test/random_filter_min_height.test.ts test/random_filter_min_pixels.test.ts test/images_param_min_int4.test.ts|npm run lint|curl（deploy 后复验）：/random?format=json&min_width=2147483648 => 400; /images?limit=1&min_width=2147483648 => 400","manual","DONE","DONE","TODO","src/routes/random.ts | src/routes/images.ts | src/repositories/imagesRepo.ts | test/random_filter_min_width.test.ts | test/random_filter_min_height.test.ts | test/random_filter_min_pixels.test.ts | test/images_param_min_int4.test.ts","none","severity=High | scope=api | expected=入口校验失败返回 400（不触发 Prisma P2020） | actual=prod: 500 code=P2020 | evidence=docs/review/network/2026-02-09_02-00-27/api-D1-random-min_width-int4over.summary.txt; docs/review/network/2026-02-09_02-00-27/api-D2-images-min_width-int4over.summary.txt | fix_plan=入口上限校验（<=2147483647）+ raw SQL 像素判断使用 bigint cast，避免 int4 乘法/参数溢出 | evidence_code=src/routes/random.ts（parseMinWidth/Height/Pixels 上限）+ src/routes/images.ts（parseMinInt 上限）+ src/repositories/imagesRepo.ts（minPixels: width/height bigint cast） | evidence_tests=npx vitest run test/random_filter_min_width.test.ts test/random_filter_min_height.test.ts test/random_filter_min_pixels.test.ts test/images_param_min_int4.test.ts（pass）+ npm run lint（pass） | done_at:2026-02-09 | validation_limited:prod_deploy_pending | manual_test:deploy 后 curl：1) /random?format=json&min_width=2147483648 => 400 BAD_REQUEST；2) /images?limit=1&min_width=2147483648 => 400 BAD_REQUEST；3) 边界值 2147483647 仍可正常进入筛选逻辑（不会 500） | risk=low | blocked_if_any=none"
"DATA-0001","打通元信息补全闭环：width/height/tags/authors/xRestrict 覆盖率提升","修复/增强 hydrate_metadata/backfill：确保导入后可批量补全元信息（tags/authors/尺寸/分级等）；提供覆盖率统计与可解释 NO_MATCH；使 /authors 不为空、/random 强筛选可用","1) /random?format=json 返回 width/height/user_id/tags 覆盖率显著提升（可量化）|2) /authors?limit=1 不再恒为空（至少对已补全数据）|3) /tags 的 image_count 能随补全增长|4) Admin 可触发批量补全并可观察进度/失败原因","npx vitest run test/job_hydrate_metadata.test.ts test/random_filter_*.test.ts test/tags_repo.test.ts|Chrome MCP 复验：触发 hydrate/backfill 并在 hydrationOps 查看进度","chrome-devtools","DONE","DONE","TODO","src/jobs/hydrateMetadata.ts | src/queue/* | src/routes/authors.ts | src/routes/tags.ts | src/routes/random.ts | src/admin/pages/hydrationOps.jsx | test/job_hydrate_metadata.test.ts","ADM-0002","severity=High | scope=data,admin,api | expected=补全后 tags/authors/尺寸可筛选 | actual=prod: /random 返回 width/height null, tags=[], author null；/authors items=[] | evidence=docs/review/network/2026-02-09_02-00-27/api-E1-tags-limit1.summary.txt; docs/review/network/2026-02-09_02-00-27/api-E2-authors-limit1.summary.txt; docs/review/network/2026-02-09_02-00-27/api-E3-random-json-sample.summary.txt | fix_plan=backfill 覆盖 tags 缺失 + HydrationOps 默认 missing_metadata=true + HydrationOps 增加覆盖率统计 + /random NO_MATCH hints 提示 backfill | evidence_code=src/jobs/hydrationBackfill.ts（missing_metadata 包含 tags + imageTags none）+ src/admin/adminJs.ts（start_backfill 默认 missing_metadata）+ src/admin/pages/hydrationOps.jsx（覆盖率展示）+ src/routes/random.ts（NO_MATCH hints） | evidence_tests=npx vitest run test/job_hydrate_metadata.test.ts test/tags_repo.test.ts test/random_no_match_degrade.test.ts test/hydration_backfill_missing_tags.test.ts（pass）+ npm run lint（pass） | done_at:2026-02-09 | validation_limited:prod_deploy_pending | manual_test:deploy 后 Chrome MCP：/admin/pages/hydrationOps 创建 backfill run → 观察 coverage 下降；复验 /authors?limit=1 不为空 + /random?format=json tags/author/width/height 抽样非空 | risk=medium (依赖上游/token/proxy 配置) | blocked_if_any=blocked:pixiv_upstream_rate_limit"
"SEC-0002","/metrics 开启 basic auth（或默认关闭）","当 METRICS_ENABLED=true 时，若配置了 METRICS_BASIC_AUTH_USER/PASS 则必须鉴权；未配置时默认建议关闭或仅内网可访问；对外暴露需有明确安全默认值与文档","1) 未鉴权访问 /metrics 返回 401 + WWW-Authenticate（当配置 basic auth 时）|2) 配置缺失时行为明确（默认 404 或 401）|3) docs/deployment/security-checklist.md 更新|4) tests 通过","npx vitest run test/metrics.test.ts|curl -I https://i.mukyu.ru/metrics 验证 401/404（按策略）","manual","DONE","DONE","TODO","src/routes/metrics.ts | src/config/env.ts | docs/deployment/security-checklist.md | test/metrics.test.ts","none","severity=Medium | scope=security,observability | expected=/metrics 不裸奔 | actual=prod: /metrics 200 OK 无鉴权 | evidence=docs/review/network/2026-02-09_02-00-27/api-E4-metrics-head.summary.txt | fix_plan=/metrics 默认保护：配置 Basic Auth 则 401/200；未配置则 404 METRICS_PROTECTED；仅当显式 METRICS_ALLOW_UNAUTHENTICATED=true 才允许匿名 | evidence_code=src/routes/metrics.ts + src/routes/metrics.js + src/config/env.ts + src/config/env.js | evidence_tests=npx vitest run test/metrics.test.ts test/outboundMetrics.test.ts（pass）+ npm run lint（pass） | done_at:2026-02-09 | validation_limited:prod_deploy_pending | manual_test:deploy 后 curl -I https://i.mukyu.ru/metrics 期望 404（protected）或 401（basic auth） | risk=low | blocked_if_any=none"
"UX-0001","easy_proxies 导入 blocked 语义清晰 + 防误操作","当 easy_proxies baseUrl/外部依赖未满足时，页面必须明确提示并禁止导入/刷新等误操作；对多行/@/%40/非法行给出逐行可解释错误","1) 缺 baseUrl 时导入按钮 disabled 且提示 blocked 原因|2) 满足依赖时可成功导入并返回 imported/invalid/conflicts 统计|3) 覆盖多行/@/%40/非法/空行/超长行|4) tests 通过","npx vitest run test/easyProxiesImporter.test.ts test/easyProxiesNodes.test.ts|Chrome MCP 复验：/admin/pages/easyProxiesImport blocked/ready 两态","chrome-devtools","TODO","TODO","TODO","src/admin/pages/easyProxiesImport.jsx | src/easyProxies/* | test/easyProxiesImporter.test.ts","none","severity=Medium | scope=ux,admin,deploy | expected=blocked 可解释且不可误操作 | actual=依赖缺失时仍可能让用户误操作（上一轮发现） | fix_plan=前端禁用+后端校验+错误语义统一 | risk=medium | blocked_if_any=blocked:easy_proxies_external"
"DATA-0002","大量 URL 导入健壮性 + 审计可回滚","导入支持多行/非法/重复/空行/超长行；导入过程可审计、可回滚（按 import_id 软回滚或标记禁用），并保证不会阻塞主线程","1) 导入预览能逐行定位错误|2) 导入提交可在后台异步执行并返回 import_id|3) 支持对某次导入执行回滚（禁用/删除本次新增）并写入 AdminAudit|4) tests 覆盖（含超长行/重复/空行）","npx vitest run test/admin_import.test.ts test/imports_repo.test.ts|Chrome MCP 复验：/admin/pages/importUrls preview+import+rollback","chrome-devtools","TODO","TODO","TODO","src/admin/pages/importUrls.jsx | src/repositories/importsRepo.ts | src/jobs/* | test/admin_import.test.ts","ADM-0002","severity=Medium | scope=data,admin | expected=大批量导入可控可回滚 | actual=需复核现状并补齐回滚闭环 | fix_plan=导入批次审计 + rollback action/job + tests | risk=medium | blocked_if_any=none"
