ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
FRUX-0001,历史审计落盘（commit+CSV+runtime）,完成提交审计、历史CSV核对、运行态契约检查并输出审计文档,生成 docs/review/*-commit-audit.md 与 *-csv-audit.md，且包含风险、偏差、追溯关系与运行态结论,manual: 检查两份文档结构与内容完整性,manual,DONE,DONE,DONE,docs/review/2026-02-06_06-20-55-commit-audit.md | docs/review/2026-02-06_06-20-55-csv-audit.md,none,done_at:2026-02-06 | evidence:docs/review/2026-02-06_06-20-55-commit-audit.md + docs/review/2026-02-06_06-20-55-csv-audit.md | evidence: npm run test:all + targeted vitest contract suite
FRUX-0002,后端重构：抽离代理URI导入服务,将代理URI文本导入逻辑抽离为独立 service，降低 adminJs.ts 耦合并可复用,新增独立模块负责解析/去重/upsert，adminJs action 调用该模块,unit: npx vitest run test/proxyUriImporter.test.ts,none,DONE,DONE,DONE,src/proxy/proxyUriImporter.ts | src/admin/adminJs.ts | test/proxyUriImporter.test.ts,FRUX-0001,done_at:2026-02-06 | evidence:src/proxy/proxyUriImporter.ts extracted and wired into easyProxiesImporter | evidence:npx vitest run test/proxyUriImporter.test.ts (3 passed)
FRUX-0003,后端能力：URI导入保存后立即生效,导入代理后自动失效 runtime proxy cache，保存后无需重启即可被代理池使用,导入 action 返回 imported/invalid/conflicts 并触发 invalidateRuntimeCaches(proxies),integration: npx vitest run test/proxyUriImporter.test.ts test/proxyPool.test.ts,none,DONE,DONE,DONE,src/proxy/proxyUriImporter.ts | src/config/runtimeConfig.ts | src/admin/adminJs.ts | test/proxyPool.test.ts,FRUX-0002,done_at:2026-02-06 | evidence:ProxyEndpoint resource action importProxyUris added with runtime cache invalidation | evidence:npx vitest run test/proxyUriImporter.test.ts test/proxyPool.test.ts (8 passed)
FRUX-0004,easy_proxies极简配置：一行URI与批量导入UI,在 easy_proxies 页面新增 URI 文本导入（单行/多行），支持 http://user:pass@host:port 与密码含@,页面可直接粘贴多行URI导入，结果反馈清晰，导入后代理池立即可见,unit: npx vitest run test/proxyUriImporter.test.ts test/proxyUri.test.ts,none,DONE,DONE,DONE,src/admin/pages/easyProxiesImport.jsx | src/admin/adminJs.ts | src/proxy/proxyUriImporter.ts | test/proxyUri.test.ts,FRUX-0003,done_at:2026-02-06 | evidence:easyProxiesImport page added URI single-line/multi-line import panel and conflict policy selector | evidence:npx vitest run test/proxyUriImporter.test.ts test/proxyUri.test.ts (46 passed)
FRUX-0005,UI ADR与设计Token收敛,完成后台组件与风格ADR并将统一设计token应用到关键页面,新增ADR文档，uiKit token 扩展且关键页面复用统一卡片/按钮/状态样式,manual: 打开页面核对 Dashboard/Import/Proxy 样式一致,manual,DONE,DONE,DONE,docs/adr/FRUX-0005-admin-ui-visual-system.md | src/admin/pages/uiKit.js | src/admin/pages/dashboard.jsx | src/admin/pages/importUrls.jsx | src/admin/pages/easyProxiesImport.jsx,FRUX-0001,"done_at:2026-02-06 | evidence:docs/adr/FRUX-0005-admin-ui-visual-system.md + uiKit token factory rollout on dashboard/import/proxy pages | evidence:npm run lint + npm run build | validation_limited:manual page-by-page visual check requires running /admin with live DB and admin credentials | manual_test:docker compose up -d then open /admin/pages/importUrls,/admin/pages/easyProxiesImport,/admin and verify token consistency | risk:low visual-only verification pending"
FRUX-0006,UI信息架构与文案统一,统一导航与页面标题/说明文案，消除中英混杂，覆盖 Import/Proxy/Token/Binding/Hydration/Dashboard/Audit/Logs,关键页面标题、导航入口、状态提示文案统一中文策略且术语一致,manual: 检查 opsNavigator 与各页面标题/按钮文案,manual,DONE,DONE,DONE,src/admin/pages/opsNavigator.jsx | src/admin/pages/dashboard.jsx | src/admin/pages/tokenProxyBindings.jsx | src/admin/pages/proxyPoolOverview.jsx | src/admin/pages/hydrationOps.jsx,FRUX-0005,"done_at:2026-02-06 | evidence:opsNavigator/tokenProxyBindings/proxyPoolOverview/hydrationOps copy and IA labels unified to Chinese-first wording | evidence:npm run lint + npm run build | validation_limited:manual click-through of all admin pages needs running admin session and live DB | manual_test:after docker compose up -d, open /admin/pages/opsNavigator and verify all page titles, section labels and action texts are unified | risk:low visual copy verification pending"
FRUX-0007,表单体验与危险操作确认优化,优化 Import/Proxy/Token 表单默认值、错误提示、危险操作确认，降低误操作,错误提示明确可读，危险动作具备 confirm，默认值合理且可撤销,unit: npx vitest run test/admin_import.test.ts test/admin_auth.test.ts,none,DONE,DONE,DONE,src/admin/pages/importUrls.jsx | src/admin/pages/easyProxiesImport.jsx | src/admin/adminJs.ts | test/admin_import.test.ts,FRUX-0006,"done_at:2026-02-06 | evidence:import/easy_proxies/token binding forms improved with better defaults, user confirmations and clearer error hints | evidence:npx vitest run test/admin_import.test.ts test/admin_auth.test.ts (23 passed)"
FRUX-0008,后端契约补齐：分类接口与指标,补齐 tags/authors/images 分类契约细节与指标字段，保证响应一致性和可观测性,分类接口参数校验与响应结构稳定，契约测试通过,unit: npx vitest run test/apiClassification.test.ts test/metrics.test.ts,none,DONE,DONE,DONE,src/routes/images.ts | src/routes/random.ts | src/metrics/index.ts | test/apiClassification.test.ts | test/metrics.test.ts,FRUX-0001,done_at:2026-02-06 | evidence:tags/authors/images list contracts now include pagination + query metadata and classification_requests_total metric wiring | evidence:npx vitest run test/apiClassification.test.ts test/metrics.test.ts (8 passed)
FRUX-0009,测试增强：UI关键链路smoke脚本,新增可重复执行的 Admin 关键链路 smoke 脚本（导入URI->查看代理统计->dashboard）,新增脚本可执行并在无外部依赖时给出可读降级提示,manual: pwsh test/admin-ui-smoke.ps1 -BaseUrl http://127.0.0.1:3000,manual,DONE,DONE,DONE,test/admin-ui-smoke.ps1 | test/README.md,FRUX-0004|FRUX-0006,done_at:2026-02-06 | evidence:test/admin-ui-smoke.ps1 + test/README.md added for repeatable admin key-flow checks | validation_limited:local backend at http://127.0.0.1:3000 was unreachable during smoke run | manual_test:pwsh test/admin-ui-smoke.ps1 -BaseUrl http://127.0.0.1:3000 -AdminToken <ADMIN_TOKEN> | risk:medium admin UI smoke evidence pending live service
FRUX-0010,文档收口：easy_proxies与部署/安全手册,更新用户手册、运维手册、easy_proxies 对接、compose 排障与安全清单,文档覆盖一行URI导入、批量导入、即时生效、敏感信息保护、compose排障,manual: 审阅 docs 章节并校验命令可执行,manual,DONE,DONE,DONE,README.md | docs/usage/easy-proxies-integration.md | docs/deployment/security-checklist.md | docs/deployment/db-migrations.md,FRUX-0004|FRUX-0009,done_at:2026-02-06 | evidence:README + easy_proxies integration + security checklist + db migrations runbook updated for one-line URI import/immediate effect/safety/compose troubleshooting | evidence:rg keyword checks across updated docs
