ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
RAPI-0001,ADR：锁定目标技术栈与路线图,固化关键决策：Node 24 + Express 5；PostgreSQL + Prisma；AdminJS；pg-boss；zod；pino；prom-client；Vitest/supertest；imgproxy 可选且必须签名。,新增 ADR 文档；包含备选方案与取舍（SQLite/Redis/BullMQ/自研后台/Fastify/TS vs JS）。,manual: 打开 ADR 核对,manual,DONE,DONE,TODO,docs/adr/*,none,ref: 随机api开发规划.md#13 | done_at:2026-01-31 | evidence:docs/adr/RAPI-0001-tech-stack-and-roadmap.md
RAPI-0002,需求可追溯矩阵（Requirements → Issues）,把 随机api开发规划.md 的 0~11 关键点逐条映射到 Issue ID，确保不漏项。,矩阵覆盖全部需求点；每点至少映射 1 个 Issue；新增/变更需求必须更新矩阵。,manual: 检查矩阵覆盖率,manual,DONE,DONE,TODO,docs/traceability.md,RAPI-0001,ref: 随机api开发规划.md#0 | done_at:2026-01-31 | evidence:docs/traceability.md | evidence:traceability_refs_check refs=68 missing=0
RAPI-0003,文档审计：删除/修正与本仓库不符的模板内容,审计 docs/ 里引用不存在路径（backend/frontend/python）的文档；更新为本仓库 Node/Express。,`rg -n 'backend/app|frontend/src|\.py' docs -S` 不再出现未解释引用。,manual: `rg -n 'backend/app|frontend/src|\.py' docs -S`,manual,DONE,DONE,TODO,docs/**,RAPI-0001,ref: docs/ux/ui-api-map.md（模板内容不匹配，已删除） | done_at:2026-01-31 | evidence:rg docs backend/app|frontend/src|\\.py => 0 matches | validation_limited:git push failed (network) | manual_test:git push (when network ok) | evidence:local_commit_created | risk:medium remote not updated
RAPI-0004,README：随机图片 API + 兼容路由说明,补充 README：/random（image/json/redirect）、筛选参数、示例、缓存策略；保留 legacy 路由示例。,README 覆盖端点/参数/响应/缓存/错误；至少 5 个 curl 示例；明确默认 r18=0 与合规说明。,manual: 按 README curl 示例走一遍（实现后）,manual,DONE,DONE,TODO,README.md,RAPI-0001,ref: 随机api开发规划.md#6 | done_at:2026-01-31 | evidence:README.md has 7 curl examples | validation_limited:endpoints not implemented yet (/random /i /healthz /metrics) | manual_test:run the README curl examples after implementing endpoints | risk:medium doc may drift until endpoints land | push_limited:git push failed (network) | manual_test:git push when network ok | evidence:local_commit_created
RAPI-0005,"文档：OpenAPI 契约（/random,/images,/i,/healthz,/metrics,/admin）",新增 OpenAPI（yaml/json）定义：请求参数、响应 schema、错误码、缓存头；并提供校验指引。,文档内容完整、与仓库真实结构一致；示例可执行；无明显过时/无关引用。,manual: 逐项核对文档与仓库结构/命令,manual,DONE,DONE,TODO,docs/**,RAPI-0004,ref: 随机api开发规划.md#6.2 | done_at:2026-01-31 | evidence:docs/openapi/openapi.yaml + docs/openapi/README.md
RAPI-0006,工程：锁定 Node 引擎（>=24）,在 package.json 声明 engines>=24；可选添加 .nvmrc/.node-version。,package.json engines 存在；CI 使用一致版本。,manual: `node -v`,manual,DONE,DONE,TODO,package.json | .nvmrc | .node-version,RAPI-0001,done_at:2026-01-31 | evidence:node -v v24.11.1 | evidence:package.json engines node>=24 | evidence:.nvmrc + .node-version
RAPI-0007,工程：TypeScript 构建链（dist 输出）,"添加 tsconfig；新增 scripts：build,start:prod,dev,test,lint；保持现有 CJS 入口可运行（或兼容入口）。",npm run build 产出 dist；start:prod 可启动；无 TS 编译错误。,manual: `npm run build`,manual,DONE,DONE,TODO,tsconfig.json | package.json | src/** | app.*,RAPI-0006,done_at:2026-01-31 | evidence:npm run build OK | evidence:dist/app.js generated | evidence:tsconfig.json added | evidence:package.json scripts build start:prod dev test lint
RAPI-0008,工程：ESLint 对齐 TS/Node 24,支持 TS lint；限制 console；统一 import 顺序；避免未处理 promise。,npm run lint 通过；规则不阻塞关键开发。,manual: `npm run lint`,manual,DONE,DONE,TODO,eslint.config.mjs | package.json,RAPI-0007,done_at:2026-01-31 | evidence:npm run lint exit0 errors=0 warnings=26 | evidence:ts lint enabled via @typescript-eslint
RAPI-0009,测试：Vitest + supertest 测试骨架,新增 npm test；加入 supertest；提供 mock stream、mock pixiv client 工具。,npm test 可运行；测试基础设施可复用。,manual: `npm test`,manual,DONE,DONE,TODO,package.json | vitest.config.* | test/**,RAPI-0007,done_at:2026-01-31 | evidence:npm test OK (vitest run) | evidence:test/helpers/* added | push_limited:git push failed (network) | manual_test:git push when network ok | evidence:local_commit_created | risk:medium remote not updated
RAPI-0010,迁移：入口 app TS 化,完成 app.js -> app.ts（或 src/server.ts）；补齐类型；保持现有行为不变。,编译通过；行为不回归；相关测试通过。,manual: `npm test`,manual,DONE,DONE,TODO,app.* | src/**,RAPI-0007|RAPI-0009,done_at:2026-01-31 | evidence:app.ts added | evidence:npm test OK | push_limited:git push failed (network) | manual_test:git push when network ok | evidence:local_commit_created | risk:medium remote not updated
