"ID","Title","Description","Acceptance","Test_Method","Tools","Dev_Status","Review1_Status","Regression_Status","Files","Dependencies","Notes"
"FRD-0001","修复 TokenProxyBinding 资源读路径 500","收敛 BigInt/filter coercion，恢复 TokenProxyBinding list/show/edit 读取链路并补充针对性测试","访问 /admin/api/resources/TokenProxyBinding/actions/list 与 records/:id/show|edit 不再 500；响应包含 record/list payload","npx vitest run test/admin_token_proxy_binding_resource.test.ts | 真实请求: curl -s -o NUL -w ""%{http_code}"" ""$BASE/admin/api/resources/TokenProxyBinding/actions/list""","manual","DONE","DONE","TODO","src/admin/adminJs.ts | test/admin_token_proxy_binding_resource.test.ts","none","evidence:npx vitest run test/admin_token_proxy_binding_resource.test.ts (2 passed) | evidence:hasEffectiveFilterValue skip empty filter prevents invalid BigInt where | blocked:runtime_admin_verify_requires_auth (GET /admin/api/resources/TokenProxyBinding/actions/list => 401 without admin token)"
"FRD-0002","修复 ProxyPoolOverview pending/504 稳定性","为 proxyPoolOverview 增加超时与 stale-cache 降级，避免页面长期刷新中","proxyPoolOverview page API 在超时场景可快速返回可解释数据（含 stale/fallback 标记），不长期 pending","npx vitest run test/admin_proxy_pool_overview_handler.test.ts | 真实请求: curl -s ""$BASE/admin/api/pages/proxyPoolOverview""","manual","DONE","DONE","TODO","src/admin/adminJs.ts | src/admin/pages/proxyPoolOverview.jsx | test/admin_proxy_pool_overview_handler.test.ts","FRD-0001","evidence:npx vitest run test/admin_proxy_pool_overview_handler.test.ts (3 passed) | evidence:proxyPoolOverview handler uses timeout+stale fallback metadata (checked_age_ms/stale_fallback/refresh) | blocked:runtime_admin_verify_requires_auth (GET /admin/api/pages/proxyPoolOverview => 401 without admin token)"
"FRD-0003","修复 ProxyEndpoint probe 504 降级链路","缩短 probe 超时、增加失败转换与 notice，确保动作可返回并可追踪","probe action 在外部探测失败时返回结构化 notice + redirect，不出现长时间无响应","npx vitest run test/admin_proxy_probe_action.test.ts test/proxyHealthCheck.test.ts | 真实请求: POST /admin/api/resources/ProxyEndpoint/records/:id/probe","manual","DONE","DONE","TODO","src/admin/adminJs.ts | src/proxy/healthCheck.ts | test/admin_proxy_probe_action.test.ts | test/proxyHealthCheck.test.ts","FRD-0002","evidence:npx vitest run test/admin_proxy_probe_action.test.ts test/proxyHealthCheck.test.ts (5 passed) | evidence:probe action now bounded by ADMIN_PROXY_PROBE_TIMEOUT_MS and returns structured timeout notice | blocked:runtime_admin_verify_requires_auth (POST /admin/api/resources/ProxyEndpoint/records/1/probe => 401 without admin token)"
"FRD-0004","修复深链 action 缺组件的假可用","统一关键 custom action 的 component/GET 行为，避免“你必须实现组件”提示","关键 action 深链 GET 不再出现 no component 指示；按钮触发路径保持可用","npx vitest run test/admin_action_component_contract.test.ts | pwsh -NoProfile -File test/admin-ui-smoke.ps1 -BaseUrl $BASE -AdminToken ***","manual","TODO","TODO","TODO","src/admin/adminJs.ts | src/admin/resources/images.ts | src/admin/resources/pixivTokens.ts | test/admin_action_component_contract.test.ts","FRD-0001|FRD-0003","来源: High-4"
"FRD-0005","统一资源 new/edit 路由与只读反馈","补齐 /new 与 /actions/new 兼容路由，统一只读资源的不可访问语义与反馈","跨资源访问 /new 行为一致；只读资源不再出现混杂 404/未授权语义","npx vitest run test/admin_resource_route_compat.test.ts test/admin_auth.test.ts | 手工抽样 /admin/resources/*/new","manual","TODO","TODO","TODO","src/routes/admin.ts | src/admin/resources/imports.ts | src/admin/resources/requestLogs.ts | src/admin/resources/adminAudits.ts | test/admin_resource_route_compat.test.ts","FRD-0004","来源: Medium-5 + 新增细化(只读资源语义不统一)"
"FRD-0006","补齐 HydrationRun 空态可恢复入口","在空数据时提供创建/启动 backfill run 的可执行入口，并优化 pause/resume/cancel not found 提示","空态可直接触发创建运行；record not found 提示包含恢复路径，不再是死路","npx vitest run test/admin_hydration_run_recovery.test.ts | 真实请求: POST /admin/api/pages/hydrationOps action=start_backfill","manual","TODO","TODO","TODO","src/admin/adminJs.ts | src/admin/pages/hydrationOps.jsx | test/admin_hydration_run_recovery.test.ts","FRD-0005","来源: Medium-6"
"FRD-0007","统一 legacy 非法参数错误包为 JSON 契约","调整 legacy 参数校验错误返回，保证非法 page/id/ext 与 JSON API 错误结构一致","/:illustId-0.ext 返回 400 JSON {code,message,request_id}；不再返回 HTML 错误页","npx vitest run test/legacy_pixivcat_routes.test.ts test/legacyRoutesContract.test.ts | curl -i ""$BASE/136551599-0.jpg""","manual","TODO","TODO","TODO","src/middlewares/validationMiddleware.ts | src/middlewares/errorHandler.ts | src/routes/pixivRoutes.ts | test/legacy_pixivcat_routes.test.ts | test/legacyRoutesContract.test.ts","none","来源: Medium-7"
"FRD-0008","增强强筛选 NO_MATCH 的降级体验与可观测性","在 random NO_MATCH 路径补充调试提示/过滤摘要，降低调用方黑盒感；补充契约测试","强筛选命中失败时返回可解析的降级信息（不泄露敏感数据）且维持 404/NO_MATCH 契约","npx vitest run test/random_no_match_degrade.test.ts test/randomContract.test.ts | curl ""$BASE/random?format=json&orientation=portrait&r18=1""","manual","TODO","TODO","TODO","src/routes/random.ts | src/contracts/randomResponse.ts | test/random_no_match_degrade.test.ts | test/randomContract.test.ts","FRD-0007","来源: Medium-8 (数据受限，重点做降级体验与可观测)"
"FRD-0009","消除 /favicon.ico 400 噪声","增加 favicon 路由/静态响应，避免 admin 页面切换持续 400","GET /favicon.ico 返回 204 或图标资源，console/network 不再出现该 400 噪声","npx vitest run test/favicon_route.test.ts | curl -i ""$BASE/favicon.ico""","manual","TODO","TODO","TODO","app.ts | test/favicon_route.test.ts","none","来源: Low-9"
"FRD-0010","修复 HydrationOps 表单可访问性","为 hydrationOps DLQ 表单补充 label/htmlFor 与 id/name，消除可访问性告警","HydrationOps 页面关键表单元素具备 label/name/id；无 No label/id/name 告警","npx vitest run test/hydrationOps_accessibility_markup.test.ts | 手工检查 /admin/pages/hydrationOps","manual","TODO","TODO","TODO","src/admin/pages/hydrationOps.jsx | test/hydrationOps_accessibility_markup.test.ts","FRD-0006","来源: Low-10"
