ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
PPOOL-0001,需求可追溯矩阵（Proxy Pool→Issues）,将本次需求 1~8 逐条映射到本 CSV 的 Issue ID 以防漏项,新增 docs/traceability-proxy-pool.md 且覆盖全部需求点且每点至少关联 1 条 Issue,manual: 检查矩阵覆盖率与引用是否存在,manual,DONE,DONE,TODO,docs/traceability-proxy-pool.md,none,ref: 用户需求 1~8 | done_at:2026-02-04 | evidence: docs/traceability-proxy-pool.md covers req 1~8 and references existing Issue IDs | validation_limited:git push failed (cannot connect to github.com:443) | manual_test:git push | risk:medium pending remote push
PPOOL-0002,ADR：出站代理与代理池架构选型,明确 pixivcat-backend 出站代理的接入范围与形态并对比 easy_proxies 对接方式与自建代理池方式,新增 ADR 文档且包含取舍与最终决策并给出落地边界,manual: 打开 ADR 核对决策与边界,manual,DONE,DONE,TODO,docs/adr/PPOOL-0002-outbound-proxy-architecture.md,none,ref: src/http/axiosClient.ts | src/controllers/imageProxyController.ts | done_at:2026-02-05 | evidence: docs/adr/PPOOL-0002-outbound-proxy-architecture.md | validation_limited:git push failed (cannot connect to github.com:443) | manual_test:git push | risk:medium pending remote push
PPOOL-0003,ADR：Token↔Proxy 绑定与迁移策略,定义多 token 多 proxy 的稳定绑定与最小迁移规则并定义失败时的临时切换语义,新增 ADR 文档且给出算法说明与示例并明确 tokens>proxies 等场景策略,manual: 审阅 ADR 示例与伪代码,manual,DONE,DONE,TODO,docs/adr/PPOOL-0003-token-proxy-binding.md,PPOOL-0002,ref: src/services/pixivAuthService.ts | done_at:2026-02-05 | evidence: docs/adr/PPOOL-0003-token-proxy-binding.md | validation_limited:git push failed (cannot connect to github.com:443) | manual_test:git push | risk:medium pending remote push
PPOOL-0004,ADR：热更新数据源与多实例同步,定义配置优先级（DB 覆盖 env）与运行时热更新机制并评估多实例同步方案（LISTEN/NOTIFY 等）,新增 ADR 文档且明确一致性边界与回退方案,manual: 审阅 ADR 并核对与现有 getEnv 缓存行为不冲突,manual,DONE,DONE,TODO,docs/adr/PPOOL-0004-hot-reload-config.md,PPOOL-0002,ref: src/config/env.ts caches env | done_at:2026-02-05 | evidence: docs/adr/PPOOL-0004-hot-reload-config.md | validation_limited:git push failed (cannot connect to github.com:443) | manual_test:git push | risk:medium pending remote push
PPOOL-0005,ADR：后台 UI 与组件库选型,评估 AdminJS Design System 与引入新组件库或自研后台的成本并给出推荐方案,新增 ADR 文档且给出可迁移路线与不做事项,manual: 审阅 ADR 并确认依赖新增范围,manual,DONE,DONE,TODO,docs/adr/PPOOL-0005-admin-ui-stack.md,none,ref: src/admin/adminJs.ts | src/routes/admin.ts | done_at:2026-02-05 | evidence: docs/adr/PPOOL-0005-admin-ui-stack.md | validation_limited:git push failed (cannot connect to github.com:443) | manual_test:git push | risk:medium pending remote push
PPOOL-0006,文档：代理池与风控使用指南,补充代理池使用说明含 fail-closed 与域名路由与风控风险提示与建议配置,新增 docs/usage/proxy-pool.md 且包含最少 5 条可执行示例与风险说明,manual: 按文档逐条检查配置项与示例可执行性,manual,DONE,DONE,TODO,docs/usage/proxy-pool.md,PPOOL-0002,ref: docs/usage/handbook.md | done_at:2026-02-05 | evidence: docs/usage/proxy-pool.md examples>=5 | validation_limited:git push failed (cannot connect to github.com:443) | manual_test:git push | risk:medium pending remote push
PPOOL-0007,文档：easy_proxies 对接与部署建议,整理 easy_proxies 的 pool 与 multi-port 与 hybrid 三种模式在本项目的推荐用法并说明 /api/export 导入方式,新增 docs/usage/easy-proxies-integration.md 且包含 docker compose 部署建议与安全提示,manual: 审阅文档与示例配置,manual,DONE,DONE,TODO,docs/usage/easy-proxies-integration.md,none,ref: easy_proxies/README_ZH.md | done_at:2026-02-05 | evidence: docs/usage/easy-proxies-integration.md | validation_limited:git push failed (cannot connect to github.com:443) | manual_test:git push | risk:medium pending remote push
PPOOL-0101,Prisma：新增 PixivToken 模型与迁移,将 refresh_token 从纯 env 升级为可持久化管理的 token 表并支持启用禁用与脱敏字段,Prisma migrate 成功且可生成 client 且单测可运行,manual: npm run prisma:migrate && npm test,manual,DONE,DONE,TODO,prisma/schema.prisma | prisma/migrations/*,PPOOL-0004,ref: src/services/pixivAuthService.ts currently reads REFRESH_TOKENS | done_at:2026-02-05 | evidence: prisma/migrations/20260204182411_ppool_0101_pixiv_token + npm test
PPOOL-0102,Prisma：新增 ProxyEndpoint 模型与迁移,新增代理端点表用于保存 http/https/socks4/socks5 URI 与状态与来源,迁移成功且可在 AdminJS 中读取记录,manual: npm run prisma:migrate && manual: AdminJS 列表可见,manual,DONE,DONE,TODO,prisma/schema.prisma | prisma/migrations/*,PPOOL-0002,ref: easy_proxies /api/export lines map to ProxyEndpoint | done_at:2026-02-05 | evidence: prisma/migrations/20260204182947_ppool_0102_proxy_endpoint + AdminJS resource added
PPOOL-0103,Prisma：新增 ProxyPool 与 Binding 模型,新增代理池与 token↔proxy 绑定表并支持 primary 与临时 override 字段,迁移成功且能表达最小迁移与 override TTL 需求,manual: npm run prisma:migrate && npm test,manual,DONE,DONE,TODO,prisma/schema.prisma | prisma/migrations/*,PPOOL-0003|PPOOL-0101|PPOOL-0102,ref: binding must persist across restart | done_at:2026-02-05 | evidence: prisma/migrations/20260204183442_ppool_0103_proxy_pool_binding + npm test | validation_limited:git push failed (cannot connect to github.com:443) | manual_test:git push | risk:medium pending remote push
PPOOL-0104,Prisma：新增 RuntimeSettings 配置表,新增运行时配置表用于存储策略开关例如 fail_closed 与重试次数与域名路由等,配置表可读写且具备默认值策略与审计字段,manual: npm test includes config load unit tests,manual,DONE,DONE,TODO,prisma/schema.prisma | prisma/migrations/* | src/config/*,PPOOL-0004,ref: getEnv caches env so DB override must be separate | done_at:2026-02-05 | evidence: prisma/migrations/20260204184536_ppool_0104_runtime_settings + test/runtime_settings.test.ts
PPOOL-0105,Prisma：新增 HydrationPolicy 与 HydrationRun 模型,为手动补全与 backfill 的暂停继续与进度游标新增持久化模型,迁移成功且能支持按条件 backfill 与游标恢复,manual: npm run prisma:migrate && npm test,manual,DONE,DONE,TODO,prisma/schema.prisma | prisma/migrations/*,PPOOL-0004,ref: src/jobs/hydrateMetadata.ts | done_at:2026-02-05 | evidence: prisma/migrations/20260204185053_ppool_0105_hydration_policy_run + npm test | validation_limited:git push failed (cannot connect to github.com:443) | manual_test:git push | risk:medium pending remote push
PPOOL-0106,DB 索引与约束审计（作者 年份 标签）,审计并补齐按 user_id 与 created_at_pixiv 与 tag 维度的查询性能索引与唯一约束,新增迁移并在 explain 计划中避免全表扫描的明显退化,manual: 记录 explain 结果到 docs/perf/,manual,TODO,TODO,TODO,prisma/schema.prisma | prisma/migrations/* | docs/perf/*,PPOOL-0105,ref: images_filter_idx currently lacks userId createdAtPixiv
PPOOL-0107,迁移与回滚 Runbook,补充 DB 迁移执行与回滚与备份恢复操作手册用于避免生产事故,新增 docs/deployment/db-migrations.md 且包含回滚与备份步骤,manual: 审阅文档与命令,manual,TODO,TODO,TODO,docs/deployment/db-migrations.md,none,ref: docker-compose.yml migrate service
PPOOL-0108,审计：记录 token 与 proxy 配置变更,扩展审计日志记录对 token 与 proxy 与 settings 的新增删除修改与操作者信息,管理员操作可追溯且不记录明文 refresh_token 与 proxy 密码,manual: Admin 操作后检查 AdminAudit 记录,manual,TODO,TODO,TODO,src/audit/* | src/admin/* | prisma/schema.prisma,PPOOL-0101|PPOOL-0102|PPOOL-0104,ref: docs/admin.md audit section
PPOOL-0201,代理 URI 解析与规范化,http/https/socks4/socks5 URI 解析含认证与默认端口与合法性校验并统一内部表示,单测覆盖至少 30 个样例且解析结果可序列化持久化,unit: vitest run test/proxyUri.test.ts,none,TODO,TODO,TODO,src/proxy/proxyUri.ts | test/*,PPOOL-0102,ref: 需兼容 easy_proxies export 的 http://user:pass@host:port
