"ID","Title","Description","Acceptance","Test_Method","Tools","Dev_Status","Review1_Status","Regression_Status","Files","Dependencies","Notes"
"META-0001","落盘计划与 Issue CSV（作为执行合同）","新增本轮 plan + issue CSV，并将执行流程固定为：单 issue 单 commit + 必测 + 可回滚。","1) `plan/2026-02-10_02-38-48-perfect-random-api-rebuild.md` 存在；2) `issues/2026-02-10_02-38-48-perfect-random-api-rebuild.csv` 存在且字段齐全；3) 后续每个提交引用 Issue ID。","人工检查文件存在 + CSV 列完整","none","TODO","TODO","TODO","plan/2026-02-10_02-38-48-perfect-random-api-rebuild.md | issues/2026-02-10_02-38-48-perfect-random-api-rebuild.csv","none","severity=High | scope=process | evidence=../../第二次最详细页面和功能实现问题.md"
"SEC-0101","PixivToken refreshToken write-only（list/show 不回显）","修复 Admin API 在 PixivToken 的 list/show 返回中回显 refreshToken 明文的问题；必须做到：refreshToken 仅可写入（edit/new），任何读取路径都不返回该字段。","1) `GET /admin/api/resources/PixivToken/actions/list` 响应中不含 `refreshToken`；2) `GET /admin/api/resources/PixivToken/records/:id/show` 不含 `refreshToken`；3) 相关单测覆盖。","npx vitest run test/admin_audit_redaction.test.ts test/pixivTokenResource.test.ts","manual","TODO","TODO","TODO","src/admin/resources/pixivTokens.ts | test/admin_audit_redaction.test.ts | test/pixivTokenResource.test.ts","META-0001","severity=High | scope=security,admin | expected=write-only | actual=prod deep audit: refreshToken_len>0（仅记录 len） | evidence=../../docs/review/artifacts/2026-02-09_15-20-48/admin/pixivtoken-refresh-token-leak.summary.json"
"SEC-0102","AdminJobs / 审计 / 日志输出的敏感字段全局脱敏","统一对 refreshToken/password/proxy URI(含 user:pass@) 等敏感字段做全局脱敏，确保：AdminJobs 页面、AdminAudit、RequestLog、logger 输出不包含明文。","1) 任意日志/审计/Job output 不出现敏感明文；2) 新增测试覆盖常见泄露形态（URL basic auth、refreshToken 字段）。","npx vitest run test/admin_audit_redaction.test.ts","manual","TODO","TODO","TODO","src/audit/adminAudit.ts | src/logger/* | src/admin/pages/adminJobs.jsx | test/admin_audit_redaction.test.ts","SEC-0101","severity=High | scope=security,observability | note=禁止在 repo/报告中写入明文凭据"
"ADM-0201","AdminJobs 展示所有核心队列（不再只显示 2 个）","修复 `/admin/pages/adminJobs` 仅枚举 `adminActions` 两个队列导致导入/补全等黑盒不可观测的问题。将所有核心队列纳入列表（含 DLQ）。","1) AdminJobs 队列下拉包含 import/hydrate/backfill/heal/adminActions 等；2) 能看到 `admin_images_import` 等 job；3) 不泄露敏感字段。","npx vitest run test/admin_jobs_page.test.ts (新增)|手工：打开 /admin/pages/adminJobs 检查队列列表","manual","TODO","TODO","TODO","src/admin/adminJs.ts | src/jobs/* | test/*","META-0001","severity=High | scope=admin,observability | evidence=../../docs/review/2026-02-09_15-20-48-admin-deep-audit.md（HIGH-006）"
"ADM-0202","AdminJobs 支持 jobId 搜索与动作跳转","为异步 actions 建立“动作→job→可追溯”的一键路径：支持按 `job_id`/`request_id` 过滤，并允许从 action notice 跳转到 AdminJobs 预筛选页。","1) AdminJobs 增加搜索框或支持 query param；2) RecordActionRunner 显示 jobId 并提供跳转；3) 文案可解释。","npx vitest run test/admin_jobs_page.test.ts (新增)|Chrome MCP（部署后）触发 testRefresh/probe 并一键跳转 AdminJobs","chrome-devtools","TODO","TODO","TODO","src/admin/pages/adminJobs.jsx | src/admin/components/recordActionRunner.jsx | src/admin/adminJs.ts","ADM-0201","severity=Medium | scope=ux,admin"
"ADM-0203","Image 资源 action 深链可用（statusCounts/enable/disable/delete）","修复 Image 资源页可见 actions 点击后进入 not-found 的问题：为所有可见 actions 提供可执行的 action component（无表单动作统一用 RecordActionRunner）。","1) `/admin/resources/Image/actions/statusCounts` 可打开并可执行；2) enable/disable/delete 深链可用；3) 不改变现有业务语义。","npx vitest run test/admin_action_component_contract.test.ts|Chrome MCP（部署后）逐个点 actions","chrome-devtools","TODO","TODO","TODO","src/admin/resources/images.ts | src/admin/components/recordActionRunner.jsx | test/admin_action_component_contract.test.ts","META-0001","severity=High | scope=admin,ux | evidence=../../docs/review/screenshots/2026-02-09_15-20-48/admin-0144-image-statusCounts-action-not-found.png"
"ADM-0204","ProxyEndpoint 资源 actions 可用（不再 component:false）","将 ProxyEndpoint 的 resource actions（setProxyEnabled/importProxyUris/easyProxies*）从“不可达/假可用”变为可用：要么提供表单组件，要么 GET 深链明确跳转到可执行页面（并提供返回路径）。","1) 资源页点击每个 action 不再 not-found；2) 至少 importProxyUris 与 setProxyEnabled 可完成闭环；3) 不泄露代理密码。","npx vitest run test/admin_proxy_endpoint_actions_ui.test.ts (新增)|Chrome MCP（部署后）逐个触发 actions","chrome-devtools","TODO","TODO","TODO","src/admin/resources/proxyEndpoints.ts | src/admin/pages/dashboard.jsx | src/admin/pages/easyProxiesImport.jsx | test/*","META-0001","severity=High | scope=admin,proxy,ux | evidence=../../docs/review/2026-02-09_15-20-48-admin-deep-audit.md（HIGH-005）"
"ADM-0205","TokenProxyBinding 资源 actions 深链可用（rebind/setOverride/clearOverride）","修复 TokenProxyBinding 资源页 actions 深链 not-found：提供组件或跳转到 `/admin/pages/tokenProxyBindings` 的可执行入口。","1) 资源页 actions 深链不再 not-found；2) 用户可从资源页完成绑定操作；3) notice/错误可解释。","npx vitest run test/admin_token_proxy_binding_resource.test.ts|Chrome MCP（部署后）触发 3 个 actions","chrome-devtools","TODO","TODO","TODO","src/admin/adminJs.ts | src/admin/pages/tokenProxyBindings.jsx | test/admin_token_proxy_binding_resource.test.ts","META-0001","severity=High | scope=admin,ux | evidence=../../docs/review/screenshots/2026-02-09_15-20-48/admin-0109-tokenproxybinding-rebindPrimary-not-found.png"
"QJOB-0301","adminActions worker：兼容多种 id 形态（修复 Invalid token_id/endpoint_id）","修复 `PixivToken.testRefresh` 与 `ProxyEndpoint.probe` 入队后 job 固定失败的问题：worker 必须能解析多种 id 形态（string/number/bigint/{id}/{value}/{params.id}）。","1) 触发 testRefresh/probe 后 job 不再因 Invalid *_id 失败；2) 单测覆盖多形态 data；3) 失败时输出可解释 code（不抛无意义异常）。","npx vitest run test/admin_actions_worker_ids.test.ts (新增)","manual","TODO","TODO","TODO","src/jobs/adminActions.ts | test/*","META-0001","severity=High | scope=queue,admin | evidence=../../docs/review/screenshots/2026-02-09_15-20-48/admin-0130-adminJobs-pixivToken-testRefresh-invalid-token-id.png"
"DATA-0401","ImportUrls 返回 success=0 的语义修正（避免误导）","现状导入为异步入队，立即响应里 `success=0` 会误导为导入失败。新增明确字段（accepted/enqueued/planned 等）并更新 ImportUrls UI 文案与展示。","1) 导入响应包含 `accepted/planned`（>=unique_images）；2) UI 明确展示“已入队，success 将在 job 完成后更新”；3) 不破坏现有字段兼容。","npx vitest run test/admin_import_contract.test.ts (新增)|手工：ImportUrls 导入 3 行看展示","manual","TODO","TODO","TODO","src/routes/adminImport.ts | src/admin/pages/importUrls.jsx | test/*","META-0001","severity=Medium | scope=ux,data | evidence=../../docs/review/screenshots/2026-02-09_15-20-48/admin-0150-importUrls-import-submitted-import-24.png"
