"ID","Title","Description","Acceptance","Test_Method","Tools","Dev_Status","Review1_Status","Regression_Status","Files","Dependencies","Notes"
"META-1000","落盘本轮执行合同（plan+issues）","新增本轮 plan + issues CSV（与审计证据绑定），并明确单 issue 单 commit + 必测 + 状态回写流程。","1) `plan/2026-02-10_04-21-53-second-round-execution.md` 存在；2) `issues/2026-02-10_04-21-53-second-round-execution.csv` 列齐全且无换行破坏；3) 后续 commit message 前缀包含 Issue ID。","人工检查文件存在 + CSV 可解析","none","DONE","DONE","TODO","plan/2026-02-10_04-21-53-second-round-execution.md | issues/2026-02-10_04-21-53-second-round-execution.csv","none","severity=High | scope=process | evidence=../../第二次最详细页面和功能实现问题.md"
"SEC-0101","PixivToken refreshToken write-only（list/show 不回显）","修复 Admin API 在 PixivToken list/show 回显 refreshToken 明文的问题；refreshToken 仅可写入（edit/new），任何读取路径不返回该字段。","1) Admin API list/show 响应不含 `refreshToken`；2) UI 不回显 refreshToken 明文；3) 脱敏测试覆盖。","npx vitest run test/admin_audit_redaction.test.ts test/pixivTokenResource.test.ts","manual","DONE","DONE","TODO","src/admin/resources/pixivTokens.ts | test/admin_audit_redaction.test.ts | test/pixivTokenResource.test.ts","META-1000","severity=High | scope=security,admin | evidence=../../docs/review/artifacts/2026-02-09_15-20-48/admin/pixivtoken-refresh-token-leak.summary.json | fix_commit=a35da3c | blocked:prod_redeploy_required"
"SEC-0102","AdminJobs/审计/日志输出全局脱敏（refreshToken/password/proxy uri）","统一对 refreshToken/password/proxy URI(含 user:pass@) 等敏感字段做全局脱敏，确保 AdminJobs、AdminAudit、RequestLog、logger 输出不包含明文。","1) 任意日志/审计/job output 不出现敏感明文；2) 测试覆盖 URL basic auth 与 refreshToken 字段。","npx vitest run test/admin_audit_redaction.test.ts","manual","DONE","DONE","TODO","src/audit/adminAudit.ts | src/logger/* | src/admin/pages/adminJobs.jsx | test/admin_audit_redaction.test.ts","SEC-0101","severity=High | scope=security,observability | fix_commit=9095d36 | blocked:prod_redeploy_required"
"ADM-0201","AdminJobs 展示所有核心队列（含 DLQ）","修复 /admin/pages/adminJobs 仅显示少量队列导致导入/补全黑盒的问题；确保核心队列全可见。","1) AdminJobs 队列列表包含 import/hydrate/backfill/heal/adminActions 等及 DLQ；2) 不泄露敏感字段。","npx vitest run test/adminJobsQueueNames.test.ts","manual","DONE","DONE","TODO","src/admin/pages/adminJobs.jsx | src/admin/utils/adminJobsQueueNames.ts | test/adminJobsQueueNames.test.ts","META-1000","severity=High | scope=admin,observability | evidence=../../第二次最详细页面和功能实现问题.md(HIGH-006) | fix_commit=33c60c4 | blocked:prod_redeploy_required"
"ADM-0202","AdminJobs 支持 jobId/request_id 搜索 + action 跳转","为异步 actions 建立“动作→job→可追溯”的闭环：支持按 job_id/request_id 过滤，并从 action notice 一键跳转到 AdminJobs 预筛选页。","1) AdminJobs 支持 query param 或搜索框；2) RecordActionRunner 展示 jobId + 跳转链接；3) 文案可解释。","npx vitest run test/admin_jobs_page_jobid_query.test.ts","manual","DONE","DONE","TODO","src/admin/pages/adminJobs.jsx | src/admin/components/recordActionRunner.jsx | test/admin_jobs_page_jobid_query.test.ts","ADM-0201","severity=Medium | scope=admin,ux | fix_commit=c4252e6 | blocked:prod_redeploy_required"
"ADM-0203","Image actions 深链可用（statusCounts/enable/disable/delete/hydrateMetadata）","修复 Image 资源页可见 actions 点击后 not-found 的问题；所有可见 actions 必须可打开并可执行。","1) `/admin/resources/Image/actions/statusCounts` 可执行；2) record actions 深链可用；3) notice/job 可追溯。","npx vitest run test/admin_action_component_contract.test.ts test/admin_image_actions.test.ts","manual","DONE","DONE","TODO","src/admin/resources/images.ts | src/admin/components/recordActionRunner.jsx | test/admin_action_component_contract.test.ts | test/admin_image_actions.test.ts","META-1000","severity=High | scope=admin,ux | evidence=../../docs/review/screenshots/2026-02-09_15-20-48/admin-0144-image-statusCounts-action-not-found.png | fix_commit=25748a1 | blocked:prod_redeploy_required"
"ADM-0204","ProxyEndpoint resource actions 可运行（不再 component:false）","将 ProxyEndpoint 的 resource actions（setProxyEnabled/importProxyUris/easyProxies*）从不可达变为可达可执行（或明确跳转到可执行页面）。","1) resource actions 深链可打开；2) 提交后有 notice/jobId；3) 不泄露 proxy 密码。","npx vitest run test/admin_proxy_endpoint_writeonly.test.ts test/admin_proxy_probe_action.test.ts","manual","DONE","DONE","TODO","src/admin/resources/proxyEndpoints.ts | src/admin/components/recordActionRunner.jsx | test/admin_proxy_endpoint_writeonly.test.ts | test/admin_proxy_probe_action.test.ts","SEC-0102","severity=High | scope=admin,proxy | evidence=../../第二次最详细页面和功能实现问题.md(HIGH-005) | fix_commit=b983f6c | blocked:prod_redeploy_required"
"ADM-0205","TokenProxyBinding actions 深链可用（rebindPrimary/setOverride/clearOverride）","确保 TokenProxyBinding 资源页 actions 深链可打开并可执行（与 /admin/pages/tokenProxyBindings 能力一致）。","1) resource actions 深链可打开；2) 提交可入队并可追溯；3) 错误态可解释。","npx vitest run test/admin_token_proxy_binding_resource.test.ts","manual","DONE","DONE","TODO","src/admin/resources/tokenProxyBindings.ts | test/admin_token_proxy_binding_resource.test.ts","ADM-0201","severity=Medium | scope=admin,ux | fix_commit=39d37ef | blocked:prod_redeploy_required"
"QJOB-0301","adminActions workers ID 解析健壮化（Invalid token_id/endpoint_id）","修复 PixivToken.testRefresh 与 ProxyEndpoint.probe 入队后 worker 固定报 Invalid token_id/endpoint_id 的问题；对 job.data 的 id 字段做健壮解析与错误诊断。","1) testRefresh/probe worker 不再报 Invalid *_id；2) 失败时输出可解释错误（脱敏）；3) 单测覆盖多种 id 形态。","npx vitest run test/admin_actions_worker_ids.test.ts","manual","DONE","DONE","TODO","src/jobs/adminActions.ts | test/admin_actions_worker_ids.test.ts","ADM-0201","severity=High | scope=queue,admin | evidence=../../第二次最详细页面和功能实现问题.md(HIGH-003,HIGH-004) | fix_commit=c98bf3b | blocked:prod_redeploy_required"
"DATA-0401","导入返回 accepted 并修复 ImportUrls 文案（success=0 不再误导）","在导入 API 返回中增加 accepted/unique/deduped 等字段；ImportUrls 页面强调异步导入（success 代表已处理，而非已接收）。","1) 导入接口返回 accepted/unique_images/deduped；2) ImportUrls UI 文案明确“入队/处理中”；3) 测试覆盖导入返回契约。","npx vitest run test/admin_import_contract.test.ts","manual","DONE","DONE","TODO","src/routes/adminImport.ts | src/admin/pages/importUrls.jsx | test/admin_import_contract.test.ts","META-1000","severity=Medium | scope=ux,import | fix_commit=a543365 | blocked:prod_redeploy_required"
